"region","type of real estate","Number 1989","Number 1990","Number 1991","Number 1992","Number 1993","Number 1994","Number 1995","Number 1996","Number 1997","Number 1998","Number 1999","Number 2000","Number 2001","Number 2002","Number 2003","Number 2004","Number 2005","Number 2006","Number 2007","Number 2008","Number 2009","Number 2010","Number 2011","Number 2012","Number 2013","Number 2014","Number 2015","Number 2016","Number 2017","Number 2018","Number 2019","Purchase price, average in 1 000 SEK 1989","Purchase price, average in 1 000 SEK 1990","Purchase price, average in 1 000 SEK 1991","Purchase price, average in 1 000 SEK 1992","Purchase price, average in 1 000 SEK 1993","Purchase price, average in 1 000 SEK 1994","Purchase price, average in 1 000 SEK 1995","Purchase price, average in 1 000 SEK 1996","Purchase price, average in 1 000 SEK 1997","Purchase price, average in 1 000 SEK 1998","Purchase price, average in 1 000 SEK 1999","Purchase price, average in 1 000 SEK 2000","Purchase price, average in 1 000 SEK 2001","Purchase price, average in 1 000 SEK 2002","Purchase price, average in 1 000 SEK 2003","Purchase price, average in 1 000 SEK 2004","Purchase price, average in 1 000 SEK 2005","Purchase price, average in 1 000 SEK 2006","Purchase price, average in 1 000 SEK 2007","Purchase price, average in 1 000 SEK 2008","Purchase price, average in 1 000 SEK 2009","Purchase price, average in 1 000 SEK 2010","Purchase price, average in 1 000 SEK 2011","Purchase price, average in 1 000 SEK 2012","Purchase price, average in 1 000 SEK 2013","Purchase price, average in 1 000 SEK 2014","Purchase price, average in 1 000 SEK 2015","Purchase price, average in 1 000 SEK 2016","Purchase price, average in 1 000 SEK 2017","Purchase price, average in 1 000 SEK 2018","Purchase price, average in 1 000 SEK 2019","Assessed value, average in 1 000 SEK 1989","Assessed value, average in 1 000 SEK 1990","Assessed value, average in 1 000 SEK 1991","Assessed value, average in 1 000 SEK 1992","Assessed value, average in 1 000 SEK 1993","Assessed value, average in 1 000 SEK 1994","Assessed value, average in 1 000 SEK 1995","Assessed value, average in 1 000 SEK 1996","Assessed value, average in 1 000 SEK 1997","Assessed value, average in 1 000 SEK 1998","Assessed value, average in 1 000 SEK 1999","Assessed value, average in 1 000 SEK 2000","Assessed value, average in 1 000 SEK 2001","Assessed value, average in 1 000 SEK 2002","Assessed value, average in 1 000 SEK 2003","Assessed value, average in 1 000 SEK 2004","Assessed value, average in 1 000 SEK 2005","Assessed value, average in 1 000 SEK 2006","Assessed value, average in 1 000 SEK 2007","Assessed value, average in 1 000 SEK 2008","Assessed value, average in 1 000 SEK 2009","Assessed value, average in 1 000 SEK 2010","Assessed value, average in 1 000 SEK 2011","Assessed value, average in 1 000 SEK 2012","Assessed value, average in 1 000 SEK 2013","Assessed value, average in 1 000 SEK 2014","Assessed value, average in 1 000 SEK 2015","Assessed value, average in 1 000 SEK 2016","Assessed value, average in 1 000 SEK 2017","Assessed value, average in 1 000 SEK 2018","Assessed value, average in 1 000 SEK 2019","Purchase-price-coefficient 1989","Purchase-price-coefficient 1990","Purchase-price-coefficient 1991","Purchase-price-coefficient 1992","Purchase-price-coefficient 1993","Purchase-price-coefficient 1994","Purchase-price-coefficient 1995","Purchase-price-coefficient 1996","Purchase-price-coefficient 1997","Purchase-price-coefficient 1998","Purchase-price-coefficient 1999","Purchase-price-coefficient 2000","Purchase-price-coefficient 2001","Purchase-price-coefficient 2002","Purchase-price-coefficient 2003","Purchase-price-coefficient 2004","Purchase-price-coefficient 2005","Purchase-price-coefficient 2006","Purchase-price-coefficient 2007","Purchase-price-coefficient 2008","Purchase-price-coefficient 2009","Purchase-price-coefficient 2010","Purchase-price-coefficient 2011","Purchase-price-coefficient 2012","Purchase-price-coefficient 2013","Purchase-price-coefficient 2014","Purchase-price-coefficient 2015","Purchase-price-coefficient 2016","Purchase-price-coefficient 2017","Purchase-price-coefficient 2018","Purchase-price-coefficient 2019"
"00 Sweden","multi-dwelling and commercial buildings (code 320, 321, 325)",3007,2617,2728,2229,2670,2377,2114,2589,3801,2870,2903,2749,2773,2541,2607,2867,3526,3428,2801,2353,1842,2131,1631,1621,1626,1848,2150,1964,1854,1538,1375,3221,5100,4518,6030,6969,8163,7010,7193,10302,10404,8788,10164,12319,11901,11723,11046,10901,10328,8605,11900,10598,12089,8997,9205,7573,8385,8868,8011,10059,11967,11413,1389,1612,1521,2266,3036,5426,4736,4779,6478,5958,4674,5970,7169,6216,6430,7317,7037,6493,5526,8058,6863,8647,6462,6170,5286,5430,5506,5334,5965,6412,6894,2.57,3.06,3.11,2.70,2.32,1.55,1.53,1.59,1.70,1.83,1.99,1.75,1.83,1.93,2.00,1.75,1.84,1.98,1.79,1.85,1.91,1.69,1.73,1.74,1.72,1.77,1.93,1.92,2.00,2.16,1.80
"00 Sweden","multi-dwelling and commercial buildings with dwellings (code 320)",1794,1511,1559,1215,1347,1350,1258,1525,1951,1363,1467,1445,1333,1206,1348,1536,1848,1656,1532,1271,1005,1113,882,848,888,1052,1194,807,773,649,562,2250,3091,3654,4628,4410,6128,4855,5364,6439,6083,6372,7960,8777,6888,7991,6855,6989,6599,6295,9715,9194,9590,7212,6713,6436,7497,7358,5106,6764,6182,6253,939,1063,1250,1754,2008,4070,3308,3576,3885,3587,3281,4529,4793,3452,4098,4138,3930,3748,3999,6010,5920,6974,4847,4280,4338,4737,4190,3022,3572,3081,4058,2.55,3.04,3.15,2.80,2.40,1.56,1.53,1.61,1.76,1.92,2.09,1.77,1.85,2.02,2.09,1.77,1.89,2.08,1.76,1.83,1.90,1.64,1.73,1.72,1.68,1.72,1.93,1.92,1.99,2.14,1.73
"00 Sweden","multi-dwelling and commercial builings with both dwellings and non-residential premises (code 321)",720,644,674,579,695,607,525,653,877,787,802,691,766,627,661,673,769,740,572,506,415,484,315,329,332,339,441,710,679,536,499,3562,5278,4523,6466,5755,7761,7452,7646,9817,8825,8316,13587,14742,11406,13341,13769,11360,9427,9459,10305,11631,12101,7315,8337,6885,7003,8370,9596,12011,15116,13896,1385,1428,1474,2380,2551,5137,4996,5024,6088,4826,4275,7964,8498,6068,6563,9141,6749,5557,6134,6476,6970,8039,4832,6058,4665,4637,5219,6361,7521,7632,8657,2.59,3.19,3.25,2.69,2.34,1.50,1.51,1.57,1.69,1.81,1.97,1.72,1.85,1.80,1.96,1.69,1.88,1.96,1.78,1.79,1.93,1.67,1.63,1.70,1.68,1.77,1.85,1.85,1.90,2.05,1.78
"00 Sweden","multi-dwelling and commercial buildings with non-residential premises (code 325)",493,462,495,435,628,420,331,411,973,720,634,613,674,708,598,658,909,1032,697,576,422,534,434,444,406,457,515,447,402,353,314,6252,11422,7233,9364,13802,15285,14500,13262,18487,20311,14977,11500,16572,20878,18346,18044,18467,16959,12982,18123,12926,17288,13847,14607,10621,11456,12796,10737,13097,17823,16702,3033,3663,2440,3541,5778,10200,9751,8853,12030,11683,8403,7120,10358,11056,11539,12873,13597,11570,8381,13966,9005,12684,10926,9862,7867,7614,8802,7879,7938,10681,9167,2.59,2.92,2.77,2.46,2.14,1.56,1.55,1.53,1.61,1.68,1.80,1.75,1.76,1.91,1.86,1.77,1.72,1.83,1.88,1.95,1.92,1.79,1.83,1.83,1.84,1.88,1.99,2.04,2.18,2.36,1.96
"01 Stockholm county","multi-dwelling and commercial buildings (code 320, 321, 325)",202,217,198,278,384,352,296,300,427,395,449,471,447,326,299,303,292,229,178,178,183,219,104,117,95,118,119,78,89,92,63,11397,18779,13857,17233,19071,17295,20989,19363,27144,35114,24567,31055,38034,37473,44941,40875,42133,41313,46527,68881,48579,53626,56818,49437,33061,34229,49296,29887,52899,81571,87581,5068,4853,4199,5714,7547,10858,13557,12257,14388,17430,10623,16893,21017,17434,21862,27749,26939,26379,31366,48728,32479,38534,46231,33196,21584,21310,31258,21332,29773,40772,41294,2.94,3.89,3.39,3.13,2.47,1.61,1.65,1.76,2.01,2.27,2.58,1.98,2.14,2.34,2.34,1.74,1.86,2.04,1.87,1.77,1.88,1.66,1.84,1.82,1.83,1.89,2.11,2.15,2.23,2.56,2.11
"01 Stockholm county","multi-dwelling and commercial buildings with dwellings (code 320)",98,111,90,151,171,173,158,127,175,142,194,209,171,142,122,104,106,71,69,75,88,87,48,39,28,55,48,16,13,21,18,7403,7613,8632,12033,8789,10520,13023,18233,17760,17558,18673,28146,32042,23605,34132,26113,31041,28406,35164,71862,50422,56685,46565,36473,38786,35152,41254,15281,65038,23908,13440,3025,2128,2575,4109,3693,6919,8625,11052,8705,7815,7437,14665,15298,10319,14924,15290,17450,15793,23142,44377,33831,43606,32470,23928,23485,20336,23582,7116,31019,11310,6130,2.96,3.76,3.34,3.13,2.71,1.62,1.66,1.87,2.21,2.56,2.82,2.03,2.20,2.59,2.54,1.83,1.96,2.15,1.81,1.79,1.77,1.59,1.88,1.92,1.76,1.91,2.11,2.76,2.09,2.36,2.30
"01 Stockholm county","multi-dwelling and commercial builings with both dwellings and non-residential premises (code 321)",69,62,65,87,131,129,94,116,143,129,148,171,191,104,104,107,88,56,53,43,48,69,13,33,21,19,30,34,38,38,27,11598,23073,10818,18028,11976,15167,16736,18779,21991,22141,21707,30983,36681,34229,47399,35945,37000,33437,46702,53797,52723,42109,44286,31427,33344,14954,25211,42885,54859,87038,98879,4331,5123,3413,6135,5113,9751,10401,11339,11382,10060,8192,16607,20167,16728,21430,24182,21958,18076,29976,32324,30661,27676,31311,24809,20664,8787,12257,28295,31413,34690,54130,3.05,4.54,3.32,3.20,2.51,1.60,1.65,1.78,2.01,2.31,2.72,1.95,2.15,2.14,2.30,1.57,1.90,2.12,1.86,1.81,2.02,1.76,1.98,1.80,1.90,1.89,2.57,2.30,2.22,2.72,1.97
"01 Stockholm county","multi-dwelling and commercial buildings with non-residential premises (code 325)",35,44,43,40,82,50,44,57,109,124,107,91,85,80,73,92,98,102,56,60,47,63,43,45,46,44,41,28,38,33,18,22181,40897,29387,35134,51848,46223,58678,23069,48973,68713,39208,37873,53128,66304,59505,63297,58740,54621,60364,75965,40894,62016,72052,73879,29447,41400,76333,22452,46786,111970,144775,12245,11345,8786,10862,19472,27344,38011,16812,27453,36108,19761,22547,34432,30979,34073,45980,41675,38307,42816,65924,31802,43421,66103,47380,20847,27934,54146,21001,27707,66524,57204,2.67,3.33,3.63,2.97,1.93,1.60,1.63,1.47,1.68,1.89,1.94,1.91,1.99,2.14,2.08,1.84,1.70,1.92,1.95,1.71,1.94,1.65,1.75,1.76,1.85,1.86,1.77,1.62,2.30,2.50,2.11
"03 Uppsala county","multi-dwelling and commercial buildings (code 320, 321, 325)",43,28,37,35,56,23,19,26,96,46,36,45,39,52,43,52,79,47,43,38,28,27,29,43,26,31,54,39,44,37,30,2152,4651,2990,4617,3801,10021,15641,8155,20806,23096,13792,12589,8785,18465,16937,16474,23112,10914,5476,10426,6615,32600,8641,11753,13713,5820,9042,8897,6845,9240,13996,870,1883,1162,1475,2594,6084,10189,5484,11093,13787,6629,7486,4644,10676,10587,10310,17821,6718,4144,6950,5403,26688,3972,6542,11535,3308,5566,4470,4216,7163,9504,2.79,2.99,3.51,3.02,1.86,1.76,1.50,1.60,1.71,1.95,2.05,1.72,2.08,2.18,2.16,2.13,1.87,2.00,1.96,2.25,1.81,1.53,2.10,2.12,1.77,1.82,1.76,2.24,1.99,1.93,2.22
"03 Uppsala county","multi-dwelling and commercial buildings with dwellings (code 320)",26,14,12,19,25,10,6,21,54,20,13,23,22,20,17,25,26,16,15,22,11,12,12,14,13,10,22,14,12,17,4,1984,2907,3135,5653,2419,14707,2723,7324,18492,27772,3892,8939,10405,14619,9889,7278,3462,9315,8747,5762,4025,10446,14111,25490,4165,5818,9797,6938,5138,2686,6178,958,1406,1280,1666,1006,8097,1845,5086,6425,16018,1619,4898,5595,8266,4409,3435,1854,4366,7939,2722,2126,8272,5559,14323,2164,3728,5825,4072,2492,1355,2951,2.51,2.62,3.96,3.44,2.09,1.94,1.47,1.60,1.77,2.28,2.41,1.86,2.02,2.47,2.96,2.28,2.37,2.16,1.72,2.40,1.94,1.38,2.25,2.14,1.93,1.71,1.80,1.97,1.95,2.06,2.32
